1;1;2;20459876546;Edetop S.A;NULL;X;edetop_contrataciones@edetop.com;46987456;1996-10-05;140553;Av. Centenario;666
2;2;2;20652394524;Anibal;Lopez;M;aLopez.931@live.com;1166857565;1991-08-11;141141;Bacacay;1234
3;2;2;20452364589;Pablo Ariel;Martinez;M;pablo.a.martinez@outlook.com;1168974562;1989-09-19;140931;Asamblea;4321
4;1;2;20658981256;CaniCan S.A.C;NULL;X;dptologistica@canican.com.ar;47896545;2003-09-11;141288;Olazabal;654
5;2;2;64589456984;Juan Esteban;Do Prado;M;juandoprado.1985@gmail.com;563547785;2007-05-02;140840;Hernesto Gutierres;6578
6;1;2;20698775645;ComSolution;NULL;X;comsolution.contacto@gmail.com;1198745698;1994-08-04;140840;Francia;689
7;2;2;20350375678;Ariana Beatriz;Mandela;F;adri.mandela.90@outlook.com;1198569985;2005-03-02;60420;Bernardo de Irigoyen;976
8;2;2;20657896542;Rolando Anibal;Monserrat;M;rolandomonse89@gmail.com;1187456987;2001-05-21;309945;Azopardo;687
9;2;2;20235647889;Armando Esteban;Quito;M;armadoelbanquito@live.com.ar;1169875423;1982-06-29;345070;Curupayti;6899
10;2;2;20235647890;Muhammad;Pizarro;M;janoinnapragrei-1279@yopmail.com;1152293856;1983-02-16;60805;Av Pres. Roque Sáenz Pena;725
11;2;2;20235647891;Mariano Sebastian;Lopez;M;marianoserramno@gmail.com;1134712295;1984-12-28;60805;General Gutiérrez;543
12;2;2;20235647892;Guadalupe Alejandra;Arribas;F;guada_arribas@hotmail.com;1171301731;2003-02-15;60568;Tres Arroyos;354
13;1;2;20235647893;Maria Dolores;Gutierrez;X;supra_contrataciones@suprasrl.com;1199549167;2002-03-02;60658;Pres. Julio Argentino Rocav;533
14;2;2;20235647894;Miguel Angel;Sepulveda;M;miguelitosepulveda@outlook.com;1181967606;2004-10-10;60441;Av José Ignacio de la Roza Oeste;499
15;2;2;20235647895;Roxana;Alegre;F;alegre_roxana@yahoo.com;1164386039;1982-05-04;60357;Independencia;661
16;2;2;20235647896;Moises Anibal;Padilla;M;prassacropreuffei-5003@yopmail.com;1146804475;1998-01-13;60260;Riobamba;345
17;2;2;20235647897;Juan Ignacio;Galera;M;juan_nacho_galera@hotmail.com;1129222911;1990-11-04;60154;Posadas;1557
18;2;2;20235647898;Maria Elisa;Palau;F;mariaelisa_palau89@gmail.com;111641347;1983-08-04;60021;Calle 40;35
19;1;2;20235647899;Angela;Novo;F;electro.solution@outlook.com;1194059783;2006-05-27;60833;San Jerónimo;3126
20;1;2;20235647900;Pedro Sebastian;Menendez;X;netcore.contact@netcoresac.com.ar;1176478219;1984-01-11;60791;Av Blas Parera;7605
21;2;2;20235647901;Jaime Alberto;Corrales;M;jaime.corrales89@live.com.ar;1158896655;2005-12-03;60749;Av Callao;1465
22;2;2;20235647902;German Franco;Amoroso;M;broulloimoibala-2221@yopmail.com;1141315091;1999-12-08;60749;Av Albarellos;2565
23;1;2;20235647903;Alfonso Macimiliano;Gines;X;automotoressm.logistica@gmail.com;1123733527;1983-11-07;60791;Paraguay;474
24;2;2;20652971524;Gerardo;Guzman;M;Gera_Lopez.931@gmail.com;1166847565;1982-10-09;309945;Dorrego;34
